Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,API,Score Label,Compute Score,Result URL,Schema
"Nov 06, 2025",Mac Studio,Apple M1 Max 3218 MHz (10 cores),3218.0,10,macOS,Metal,Metal Score,102735,/v6/compute/5149445,v6-compute
"Nov 06, 2025 gdtgcxf",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,27871,/v6/compute/5149444,v6-compute
"Nov 06, 2025",iPhone 12 Pro,Apple A14 Bionic 2990 MHz (6 cores),2990.0,6,iOS,Metal,Metal Score,16636,/v6/compute/5149443,v6-compute
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,27871,/v6/compute/5149442,v6-compute
"Nov 06, 2025 gdtgcxf","iPad15,3",ARM 4056 MHz (8 cores),4056.0,8,iOS,Metal,Metal Score,45899,/v6/compute/5149441,v6-compute
"Nov 06, 2025","iPad15,3",ARM 4056 MHz (8 cores),4056.0,8,iOS,Metal,Metal Score,45899,/v6/compute/5149440,v6-compute
"Nov 06, 2025","iPad15,3",ARM 4054 MHz (8 cores),4054.0,8,iOS,Metal,Metal Score,45971,/v6/compute/5149439,v6-compute
"Nov 06, 2025","iPhone18,3",ARM 4251 MHz (6 cores),4251.0,6,iOS,Metal,Metal Score,36788,/v6/compute/5149438,v6-compute
"Nov 06, 2025","iPhone17,5",ARM 4039 MHz (6 cores),4039.0,6,iOS,Metal,Metal Score,24024,/v6/compute/5149437,v6-compute
"Nov 06, 2025",Mac Studio,Apple M1 Max 3218 MHz (10 cores),3218.0,10,macOS,OpenCL,OpenCL Score,60022,/v6/compute/5149436,v6-compute
"Nov 06, 2025",iPhone 15 Pro,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,Metal,Metal Score,28318,/v6/compute/5149435,v6-compute
"Nov 06, 2025",iPhone 11,Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,Metal,Metal Score,14167,/v6/compute/5149434,v6-compute
"Nov 06, 2025",motorola motorola edge plus 2023,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,OpenCL,OpenCL Score,8997,/v6/compute/5149433,v6-compute
"Nov 06, 2025",ASUS All Series,Intel Core i7-4790 3591 MHz (4 cores),3591.0,4,Windows,OpenCL,OpenCL Score,45700,/v6/compute/5149432,v6-compute
"Nov 06, 2025",LENOVO 21S6004DMX,Intel Core Ultra 5 225U 1500 MHz (12 cores),1500.0,12,Windows,OpenCL,OpenCL Score,18705,/v6/compute/5149431,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. ROG Strix G614JU_G614JU,Intel Core i7-13650HX 2600 MHz (14 cores),2600.0,14,Windows,OpenCL,OpenCL Score,81089,/v6/compute/5149430,v6-compute
"Nov 06, 2025","Mac17,2",Apple M5 4606 MHz (10 cores),4606.0,10,macOS,OpenCL,OpenCL Score,48671,/v6/compute/5149429,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4259 MHz (6 cores),4259.0,6,iOS,Metal,Metal Score,45842,/v6/compute/5149428,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop K3605ZC_K3605ZC,Intel Core i5-12450H 2000 MHz (8 cores),2000.0,8,Windows,OpenCL,OpenCL Score,33431,/v6/compute/5149427,v6-compute
"Nov 06, 2025",Xiaomi Redmi K20 Pro,Qualcomm Qualcomm 1785 MHz (8 cores),1785.0,8,Android,OpenCL,OpenCL Score,2670,/v6/compute/5149426,v6-compute
"Nov 06, 2025",Samsung Galaxy S24,ARM ARMv8 1959 MHz (10 cores),1959.0,10,Android,OpenCL,OpenCL Score,14371,/v6/compute/5149425,v6-compute
"Nov 06, 2025",Xiaomi 2410DPN6CC,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,Vulkan,Vulkan Score,24233,/v6/compute/5149424,v6-compute
