Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Nov 06, 2025",LENOVO 20L6S01Q34,Intel Core i5-8350U 1895 MHz (4 cores),1895.0,4,Windows,,1260,3584,/v6/cpu/14887388,v6
"Nov 06, 2025",HP HP EliteBook 8 G1i 14 inch Notebook AI PC,Intel Core Ultra 5 225U 1500 MHz (12 cores),1500.0,12,Windows,,2400,9622,/v6/cpu/14887387,v6
"Nov 06, 2025","MacBookPro16,3",AMD Ryzen 9 5900HX 3300 MHz (8 cores),3300.0,8,macOS,,1890,7536,/v6/cpu/14887386,v6
"Nov 06, 2025","iPad14,6",ARM 3474 MHz (8 cores),3474.0,8,iOS,,2721,10308,/v6/cpu/14887385,v6
"Nov 06, 2025 Gonfonix","iPhone18,2",ARM 4253 MHz (6 cores),4253.0,6,iOS,Gonfonix,3797,10021,/v6/cpu/14887384,v6
"Nov 06, 2025 gcouegnat",System manufacturer System Product Name,AMD Ryzen Threadripper 3970X 3900 MHz (32 cores),3900.0,32,Linux,gcouegnat,1378,14830,/v6/cpu/14887383,v6
"Nov 06, 2025","MacBook Pro (14-inch, 2024)",Apple M4 4414 MHz (10 cores),4414.0,10,macOS,,3793,14957,/v6/cpu/14887382,v6
"Nov 06, 2025","iPhone18,2",ARM 4253 MHz (6 cores),4253.0,6,iOS,,3797,10021,/v6/cpu/14887381,v6
"Nov 06, 2025",CIX P1_EVB,ARM ARMv8 0 MHz (12 cores),0.0,12,Android,,1075,1363,/v6/cpu/14887380,v6
"Nov 06, 2025",CIX P1_EVB,ARM ARMv8 0 MHz (12 cores),0.0,12,Android,,1080,1350,/v6/cpu/14887379,v6
"Nov 06, 2025",ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop K6602VU_K6602VU,Intel Core i5-13500H 3192 MHz (12 cores),3192.0,12,Windows,,845,5213,/v6/cpu/14887378,v6
"Nov 06, 2025",Dell Inc. XPS 13 9370,Intel Core i7-8550U 4000 MHz (4 cores),4000.0,4,Linux,,1276,2802,/v6/cpu/14887377,v6
"Nov 06, 2025",Realme GT Neo,ARM MT6893Z/CZA 2000 MHz (8 cores),2000.0,8,Android,,1113,3125,/v6/cpu/14887376,v6
"Nov 06, 2025",LENOVO 81V7,AMD Ryzen 5 3500U 2100 MHz (4 cores),2100.0,4,Windows,,920,2710,/v6/cpu/14887375,v6
"Nov 06, 2025",CIX P1_EVB,ARM ARMv8 0 MHz (12 cores),0.0,12,Android,,1082,1342,/v6/cpu/14887374,v6
"Nov 06, 2025",Virtuozzo OpenStack Compute,"Intel Core (Haswell, no TSX, IBRS) 2499 MHz (4 cores)",2499.0,4,Linux,,884,2782,/v6/cpu/14887373,v6
"Nov 06, 2025",Dell Inc. Dell Pro 16 PC16250,Intel Core Ultra 5 235U 2000 MHz (12 cores),2000.0,12,Windows,,2280,10172,/v6/cpu/14887372,v6
"Nov 06, 2025",Virtuozzo OpenStack Compute,"Intel Core (Haswell, no TSX, IBRS) 2499 MHz (4 cores)",2499.0,4,Linux,,903,2971,/v6/cpu/14887371,v6
"Nov 06, 2025",CIX P1_EVB,ARM ARMv8 0 MHz (12 cores),0.0,12,Android,,1093,1359,/v6/cpu/14887370,v6
"Nov 06, 2025",Virtuozzo OpenStack Compute,"Intel Xeon (Skylake, IBRS, no TSX) 2400 MHz (4 cores)",2400.0,4,Linux,,926,2973,/v6/cpu/14887369,v6
"Nov 06, 2025",Virtuozzo OpenStack Compute,"Intel Xeon (Skylake, IBRS, no TSX) 2400 MHz (4 cores)",2400.0,4,Linux,,926,2973,/v6/cpu/14887369,v6
"Nov 06, 2025",LENOVO 81YK,Intel Core i3-1005G1 3400 MHz (2 cores),3400.0,2,Linux,,1585,3418,/v6/cpu/14887368,v6
"Nov 06, 2025",OnePlus CPH2747,Qualcomm ARMv8 3628 MHz (8 cores),3628.0,8,Android,,3661,10949,/v6/cpu/14887367,v6
"Nov 06, 2025",nubia A403ZT,ARM ARMv8 2002 MHz (8 cores),2002.0,8,Android,,752,2187,/v6/cpu/14887366,v6
"Nov 06, 2025",N/A,AMD EPYC 2546 MHz (4 cores),2546.0,4,Linux,,1394,4271,/v6/cpu/14887365,v6
"Nov 06, 2025",CIX P1_EVB,ARM ARMv8 0 MHz (12 cores),0.0,12,Android,,1099,1244,/v6/cpu/14887364,v6
"Nov 06, 2025","MacBook Pro (16-inch, 2024)",Apple M4 Pro 4505 MHz (14 cores),4505.0,14,macOS,,4020,23405,/v6/cpu/14887363,v6
"Nov 06, 2025",samsung SM-E236B,ARM Qualcomm 1804 MHz (8 cores),1804.0,8,Android,,559,1534,/v6/cpu/14887362,v6
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,,3464,8782,/v6/cpu/14887361,v6
"Nov 06, 2025",iPhone 11,Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,,1755,3951,/v6/cpu/14887360,v6
"Nov 06, 2025",iPhone 13 Pro Max,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,,2457,6090,/v6/cpu/14887359,v6
"Nov 06, 2025",Xiaomi M2102J20SG,Qualcomm Qualcomm 1785 MHz (8 cores),1785.0,8,Android,,1000,2727,/v6/cpu/14887358,v6
"Nov 06, 2025 novot",Standard Hardware (novotgamehosting.com),AMD Ryzen 7 5825U 4546 MHz (8 cores),4546.0,8,Linux,novot,1778,8332,/v6/cpu/14887357,v6
"Nov 06, 2025",QEMU KVM Virtual Machine,ARM ARMv8 0 MHz (1 cores),0.0,1,Linux,,1051,1053,/v6/cpu/14887356,v6
"Nov 06, 2025",Virtuozzo OpenStack Compute,"Intel Xeon (Skylake, IBRS, no TSX) 2399 MHz (8 cores)",2399.0,8,Linux,,974,5126,/v6/cpu/14887355,v6
"Nov 06, 2025",Google Pixel 6a,ARM ARMv8 1803 MHz (8 cores),1803.0,8,Android,,1449,3445,/v6/cpu/14887354,v6
"Nov 06, 2025",Samsung Galaxy S22 Ultra,ARM ARMv8 1785 MHz (8 cores),1785.0,8,Android,,1546,3309,/v6/cpu/14887353,v6
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7E71",AMD Ryzen 7 9700X 3800 MHz (8 cores),3800.0,8,Windows,,3397,17617,/v6/cpu/14887352,v6
"Nov 06, 2025",iPhone 12 Pro Max,Apple A14 Bionic 2990 MHz (6 cores),2990.0,6,iOS,,2236,5462,/v6/cpu/14887351,v6
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,,1343,3740,/v6/cpu/14887350,v6
"Nov 06, 2025",Xiaomi 25060RK16C,ARM ARMv8 2400 MHz (8 cores),2400.0,8,Android,,2712,8290,/v6/cpu/14887349,v6
"Nov 06, 2025",Google Compute Engine,Intel Xeon 2600 MHz (8 cores),2600.0,8,Linux,,1460,3055,/v6/cpu/14887348,v6
"Nov 06, 2025",Xiaomi 2410CRP4CG,ARM ARMv8 1900 MHz (8 cores),1900.0,8,Android,,1848,4536,/v6/cpu/14887347,v6
"Nov 06, 2025 yyds111",MacBook Pro (16-inch Late 2019),Intel Core i9-9980HK 2400 MHz (8 cores),2400.0,8,macOS,yyds111,1498,7157,/v6/cpu/14887346,v6
"Nov 06, 2025",OnePlus PLQ110,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,,3061,9328,/v6/cpu/14887345,v6
"Nov 06, 2025",Valve Jupiter,Intel Pentium II/III 3501 MHz (4 cores),3501.0,4,Linux,,1343,4483,/v6/cpu/14887344,v6
"Nov 06, 2025",Captiva GmbH CAPTIVA PC,AMD Ryzen 7 7800X3D 5053 MHz (8 cores),5053.0,8,Linux,,2848,15868,/v6/cpu/14887343,v6
"Nov 06, 2025",OnePlus PJZ110,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,,1359,5933,/v6/cpu/14887342,v6
"Nov 06, 2025",samsung SM-S721B,ARM ARMv8 1959 MHz (10 cores),1959.0,10,Android,,1195,5394,/v6/cpu/14887341,v6
