Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Oct 27, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3504,33893,/v6/cpu/14687809,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3511,33893,/v6/cpu/14543982,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3515,33892,/v6/cpu/14537413,v6
"Oct 23, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3513,33875,/v6/cpu/14610284,v6
"Oct 14, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3486,33858,/v6/cpu/14441871,v6
"Oct 22, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3432,33853,/v6/cpu/14594004,v6
"Oct 21, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3475,33853,/v6/cpu/14580430,v6
"Oct 14, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3455,33852,/v6/cpu/14441385,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3496,33843,/v6/cpu/14540998,v6
"Oct 26, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3489,33835,/v6/cpu/14675265,v6
"Oct 20, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3501,33822,/v6/cpu/14554845,v6
"Oct 14, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3484,33820,/v6/cpu/14441951,v6
"Nov 04, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3464,33818,/v6/cpu/14836642,v6
"Sep 02, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3334,33815,/v6/cpu/13623982,v6
"Nov 03, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3486,33806,/v6/cpu/14820080,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3502,33803,/v6/cpu/14540838,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3495,33800,/v6/cpu/14537123,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3498,33786,/v6/cpu/14540742,v6
"Oct 11, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3510,33754,/v6/cpu/14388486,v6
"Sep 03, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3362,33726,/v6/cpu/13640134,v6
"Oct 15, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3457,33719,/v6/cpu/14460355,v6
"Oct 21, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3489,33708,/v6/cpu/14572192,v6
"Oct 27, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3505,33698,/v6/cpu/14687735,v6
"Oct 17, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3496,33685,/v6/cpu/14502411,v6
"Oct 29, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3487,33666,/v6/cpu/14722130,v6
"Sep 20, 2023",ASUS System Product Name,Intel Core i7-13700K 3400 MHz (16 cores),3400.0,16,Windows,,0,33657,/v6/cpu/2692954,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3505,33655,/v6/cpu/14537077,v6
"Sep 20, 2023",ASUS System Product Name,Intel Core i7-13700K 3400 MHz (16 cores),3400.0,16,Windows,,0,33648,/v6/cpu/2692873,v6
"Oct 28, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3498,33644,/v6/cpu/14707613,v6
"Oct 17, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3492,33640,/v6/cpu/14500930,v6
"Oct 23, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3506,33612,/v6/cpu/14610451,v6
"Nov 05, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3492,33605,/v6/cpu/14856871,v6
"Oct 21, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3481,33588,/v6/cpu/14572459,v6
"Nov 19, 2024 CENS",ASUS System Product Name,Intel Core Ultra 9 285K 3700 MHz (24 cores),3700.0,24,Windows,CENS,4306,33572,/v6/cpu/8951862,v6
"Oct 11, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3493,33559,/v6/cpu/14385697,v6
"Sep 19, 2025 gsibble",ASUS System Product Name,AMD Ryzen Threadripper 9980X s 5651 MHz (64 cores),5651.0,64,Linux,gsibble,3554,33559,/v6/cpu/13915382,v6
"Oct 19, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3506,33550,/v6/cpu/14540635,v6
"Nov 02, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3505,33536,/v6/cpu/14799992,v6
"Sep 20, 2023",ASUS System Product Name,Intel Core i7-13700K 3400 MHz (16 cores),3400.0,16,Windows,,0,33532,/v6/cpu/2692826,v6
"Oct 28, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3490,33521,/v6/cpu/14705750,v6
"Oct 11, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3455,33515,/v6/cpu/14387341,v6
"Sep 20, 2023",ASUS System Product Name,Intel Core i7-13700K 3400 MHz (16 cores),3400.0,16,Windows,,0,33507,/v6/cpu/2692881,v6
"Oct 21, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3436,33506,/v6/cpu/14574086,v6
"Sep 03, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9985WX s 3200 MHz (64 cores),3200.0,64,Windows,,3378,33460,/v6/cpu/13640848,v6
"Oct 28, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3477,33438,/v6/cpu/14706404,v6
"Oct 29, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3471,33427,/v6/cpu/14723535,v6
"Oct 28, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3437,33419,/v6/cpu/14716373,v6
"Feb 20, 2025",HPE ProLiant DL345 Gen11,AMD EPYC 9555P 4409 MHz (64 cores),4409.0,64,Linux,,2885,33407,/v6/cpu/10652001,v6
"Oct 20, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3395,33311,/v6/cpu/14557263,v6
"Oct 28, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3421,33200,/v6/cpu/14718736,v6
"Aug 11, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3373,33194,/v6/cpu/13266667,v6
"Oct 10, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3472,33178,/v6/cpu/14371651,v6
"Aug 14, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3384,33173,/v6/cpu/13308204,v6
"Oct 11, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3459,33119,/v6/cpu/14386217,v6
"Nov 04, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3341,33112,/v6/cpu/14837518,v6
"Oct 10, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3495,33106,/v6/cpu/14371952,v6
"Oct 29, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3352,33089,/v6/cpu/14722580,v6
"Oct 28, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3457,33079,/v6/cpu/14706126,v6
"Oct 26, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3454,33075,/v6/cpu/14676656,v6
"Oct 10, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3476,33041,/v6/cpu/14368945,v6
"Nov 03, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3431,33007,/v6/cpu/14816978,v6
"Oct 28, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3422,33007,/v6/cpu/14706398,v6
"Oct 10, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3495,32997,/v6/cpu/14376886,v6
"Aug 11, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3384,32942,/v6/cpu/13267822,v6
"Aug 10, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3384,32936,/v6/cpu/13250720,v6
"Aug 11, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3478,32929,/v6/cpu/13263582,v6
"Oct 28, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3408,32872,/v6/cpu/14717531,v6
