Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Oct 25, 2025","iPad17,1",ARM 4422 MHz (9 cores),4422.0,9,iOS,,4193,15752,/v6/cpu/14658177,v6
"Oct 23, 2025","iPad17,1",ARM 4421 MHz (9 cores),4421.0,9,iOS,,4193,15828,/v6/cpu/14617252,v6
"Oct 23, 2025","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,,4193,17499,/v6/cpu/14610219,v6
"Nov 05, 2025","iPad17,1",ARM 4260 MHz (9 cores),4260.0,9,iOS,,4192,15767,/v6/cpu/14859990,v6
"Nov 04, 2025","iPad17,1",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4192,15768,/v6/cpu/14849977,v6
"Nov 03, 2025","iPad17,4",ARM 4425 MHz (10 cores),4425.0,10,iOS,,4192,17058,/v6/cpu/14814270,v6
"Nov 01, 2025","iPad17,1",ARM 4423 MHz (9 cores),4423.0,9,iOS,,4192,15521,/v6/cpu/14793759,v6
"Oct 26, 2025","iPad17,4",ARM 4403 MHz (9 cores),4403.0,9,iOS,,4192,15611,/v6/cpu/14670278,v6
"Oct 22, 2025","iPad17,1",ARM 4423 MHz (9 cores),4423.0,9,iOS,,4192,15724,/v6/cpu/14606833,v6
"Nov 04, 2025","iPad17,1",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4191,15775,/v6/cpu/14836399,v6
"Nov 02, 2025","iPad17,2",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4191,15685,/v6/cpu/14797461,v6
"Oct 31, 2025","iPad17,1",ARM 4423 MHz (9 cores),4423.0,9,iOS,,4191,15657,/v6/cpu/14760302,v6
"Oct 25, 2025","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,,4191,17030,/v6/cpu/14661441,v6
"Oct 23, 2025","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,,4191,17029,/v6/cpu/14622702,v6
"Nov 05, 2025","iPad17,1",ARM 4418 MHz (9 cores),4418.0,9,iOS,,4190,15710,/v6/cpu/14873301,v6
